run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,22,test_accuracy,3,0.9842,0.0003605551,0.0002081666,0.95,4.302653,0.0008956686,0.9833043,0.9850957,0.9839,0.9846
AdamW,adamw,AdamW,23,test_accuracy,3,0.9842333,0.0006027714,0.0003480102,0.95,4.302653,0.001497367,0.982736,0.9857307,0.9836,0.9848
AdamW,adamw,AdamW,24,test_accuracy,3,0.9841,0.0005,0.0002886751,0.95,4.302653,0.001242069,0.9828579,0.9853421,0.9836,0.9846
AdamW,adamw,AdamW,25,test_accuracy,3,0.9841333,0.0006658328,0.0003844188,0.95,4.302653,0.00165402,0.9824793,0.9857874,0.9834,0.9847
AdamW,adamw,AdamW,26,test_accuracy,3,0.9842,0.0006557439,0.0003785939,0.95,4.302653,0.001628958,0.982571,0.985829,0.9835,0.9848
AdamW,adamw,AdamW,27,test_accuracy,3,0.9843333,0.0006027714,0.0003480102,0.95,4.302653,0.001497367,0.982836,0.9858307,0.9837,0.9849
AdamW,adamw,AdamW,28,test_accuracy,3,0.9842,0.0006244998,0.0003605551,0.95,4.302653,0.001551344,0.9826487,0.9857513,0.9835,0.9847
AdamW,adamw,AdamW,29,test_accuracy,3,0.9842,0.0006244998,0.0003605551,0.95,4.302653,0.001551344,0.9826487,0.9857513,0.9835,0.9847
AdamW,adamw,AdamW,30,test_accuracy,3,0.9841667,0.0006110101,0.0003527668,0.95,4.302653,0.001517833,0.9826488,0.9856845,0.9835,0.9847
AdamW,adamw,AdamW,0,test_accuracy_gap,3,-0.002069697,0.002093286,0.001208559,0.95,4.302653,0.00520001,-0.007269707,0.003130313,-0.004454545,-0.0005363636
AdamW,adamw,AdamW,1,test_accuracy_gap,3,0.003930303,0.002696896,0.001557054,0.95,4.302653,0.006699462,-0.002769159,0.01062977,0.001654545,0.006909091
AdamW,adamw,AdamW,2,test_accuracy_gap,3,0.0098,0.001277297,0.0007374478,0.95,4.302653,0.003172982,0.006627018,0.01297298,0.008527273,0.01108182
AdamW,adamw,AdamW,3,test_accuracy_gap,3,0.01174545,0.001223361,0.0007063077,0.95,4.302653,0.003038997,0.008706458,0.01478445,0.01054545,0.01299091
AdamW,adamw,AdamW,4,test_accuracy_gap,3,0.01462727,0.001391266,0.0008032475,0.95,4.302653,0.003456095,0.01117118,0.01808337,0.01325455,0.01603636
AdamW,adamw,AdamW,5,test_accuracy_gap,3,0.01733636,0.000244104,0.0001409335,0.95,4.302653,0.000606388,0.01672998,0.01794275,0.01705455,0.01748182
AdamW,adamw,AdamW,6,test_accuracy_gap,3,0.01912121,0.001348655,0.0007786464,0.95,4.302653,0.003350245,0.01577097,0.02247146,0.01759091,0.02013636
AdamW,adamw,AdamW,7,test_accuracy_gap,3,0.01864545,0.0007891831,0.0004556351,0.95,4.302653,0.001960439,0.01668502,0.02060589,0.01773636,0.01915455
AdamW,adamw,AdamW,8,test_accuracy_gap,3,0.01843636,0.0008882614,0.0005128379,0.95,4.302653,0.002206564,0.0162298,0.02064293,0.01742727,0.0191
