arm,arm_label,family,variant,layer,epoch,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,26,alpha,3,1.918223,0.033626,0.019414,0.083532,1.834691,2.001755,1.896011,1.95691
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,27,alpha,3,1.920293,0.040961,0.023649,0.101753,1.81854,2.022046,1.893511,1.967445
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,28,alpha,3,1.926741,0.037608,0.021713,0.093423,1.833318,2.020165,1.897182,1.969072
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,29,alpha,3,1.925992,0.038594,0.022282,0.095873,1.830119,2.021866,1.896326,1.969625
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,30,alpha,3,1.912743,0.036464,0.021053,0.090583,1.82216,2.003325,1.888591,1.954688
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,0,alpha,3,7.368381,0.581824,0.335916,1.44533,5.923051,8.813712,6.700321,7.763975
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,1,alpha,3,6.993247,0.434309,0.250748,1.078883,5.914364,8.072129,6.659664,7.484331
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,2,alpha,3,6.395655,0.832216,0.48048,2.06734,4.328315,8.462995,5.453219,7.029491
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,3,alpha,3,5.580579,1.237867,0.714683,3.075033,2.505546,8.655612,4.251928,6.701337
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,4,alpha,3,6.219032,0.244046,0.1409,0.606244,5.612788,6.825276,5.942171,6.402954
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,5,alpha,3,5.39573,1.026649,0.592736,2.550336,2.845394,7.946067,4.210905,6.022049
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,6,alpha,3,5.990123,0.139003,0.080253,0.345302,5.644821,6.335426,5.838784,6.112097
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,7,alpha,3,5.957045,0.205788,0.118812,0.511206,5.445839,6.468251,5.725321,6.118478
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,8,alpha,3,5.679645,0.251579,0.145249,0.624958,5.054687,6.304603,5.422797,5.925603
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,9,alpha,3,5.540381,0.182448,0.105336,0.453225,5.087156,5.993606,5.429782,5.750965
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,10,alpha,3,5.520129,0.198571,0.114645,0.493278,5.026851,6.013407,5.315975,5.712601
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,11,alpha,3,5.395707,0.093631,0.054058,0.232592,5.163115,5.628299,5.337391,5.503707
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,12,alpha,3,5.650314,0.414794,0.239481,1.030405,4.619909,6.680719,5.392179,6.128779
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,13,alpha,3,5.702911,0.571885,0.330178,1.420641,4.282269,7.123552,5.359003,6.363074
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,14,alpha,3,5.684033,0.614851,0.354984,1.527374,4.156659,7.211407,5.231263,6.384012
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,15,alpha,3,5.575455,0.512047,0.295631,1.271996,4.30346,6.847451,5.150692,6.144031
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,16,alpha,3,5.56718,0.453686,0.261936,1.127019,4.440161,6.694199,5.239423,6.084983
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,17,alpha,3,5.56112,0.337317,0.19475,0.837942,4.723178,6.399062,5.324846,5.947424
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,18,alpha,3,5.523602,0.40989,0.23665,1.018224,4.505377,6.541826,5.28639,5.996902
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,19,alpha,3,5.497407,0.397887,0.22972,0.988406,4.509001,6.485812,5.237439,5.955455
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,20,alpha,3,5.201697,0.867279,0.500724,2.15444,3.047257,7.356137,4.275875,5.995233
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,21,alpha,3,5.211595,0.825806,0.476779,2.051416,3.160179,7.263012,4.302553,5.915492
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,22,alpha,3,4.989176,0.623266,0.359843,1.54828,3.440896,6.537456,4.271798,5.39774
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,23,alpha,3,5.003268,0.619561,0.357704,1.539076,3.464193,6.542344,4.289031,5.395809
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,24,alpha,3,5.017023,0.627359,0.362206,1.558445,3.458577,6.575468,4.293635,5.41206
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,25,alpha,3,5.028862,0.64094,0.370047,1.592183,3.436679,6.621045,4.290283,5.439129
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,26,alpha,3,5.032047,0.647,0.373546,1.607237,3.42481,6.639284,4.286511,5.446532
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,27,alpha,3,5.032242,0.651094,0.375909,1.617408,3.414834,6.649649,4.281869,5.447797
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,28,alpha,3,5.226743,0.859677,0.496334,2.135555,3.091188,7.362298,4.277917,5.953824
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,29,alpha,3,5.23842,0.877986,0.506905,2.181037,3.057383,7.419458,4.274673,5.992787
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc3,30,alpha,3,5.247207,0.892302,0.515171,2.2166,3.030607,7.463807,4.272028,6.022844
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,0,alpha,3,11.646882,7.859929,4.537932,19.525145,-7.878264,31.172027,6.148255,20.649379
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,1,alpha,3,5.970654,1.819703,1.050606,4.520393,1.450261,10.491048,4.318084,7.920807
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,2,alpha,3,8.301256,4.31853,2.493304,10.727823,-2.426567,19.029079,5.806003,13.287865
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,3,alpha,3,5.584869,1.483171,0.856309,3.6844,1.900469,9.269269,4.007736,6.951608
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,4,alpha,3,8.705946,2.29619,1.325706,5.704051,3.001895,14.409997,6.708801,11.214832
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,5,alpha,3,4.247905,0.501822,0.289727,1.246595,3.001309,5.4945,3.847211,4.810755
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,6,alpha,3,3.781921,1.079678,0.623353,2.68207,1.099851,6.46399,3.071278,5.024341
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,7,alpha,3,3.75914,0.713506,0.411943,1.772448,1.986692,5.531588,3.137458,4.538196
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,8,alpha,3,3.996472,1.160112,0.669791,2.881877,1.114595,6.878349,3.041531,5.28753
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,9,alpha,3,2.900165,0.297477,0.171748,0.738973,2.161192,3.639138,2.556687,3.075012
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,10,alpha,3,3.20647,0.610192,0.352295,1.515802,1.690669,4.722272,2.502832,3.58999
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,11,alpha,3,3.543084,0.489488,0.282606,1.215955,2.327129,4.759039,3.148479,4.090834
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,12,alpha,3,3.417668,0.188732,0.108964,0.468836,2.948832,3.886504,3.224004,3.601047
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,13,alpha,3,3.177589,0.177548,0.102508,0.441055,2.736534,3.618644,3.066264,3.382344
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,14,alpha,3,2.95256,0.156023,0.09008,0.387583,2.564976,3.340143,2.781073,3.086132
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,15,alpha,3,2.674417,0.444335,0.256537,1.10379,1.570627,3.778207,2.183953,3.050102
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,16,alpha,3,2.664918,0.464448,0.268149,1.153753,1.511165,3.818671,2.161249,3.076284
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,17,alpha,3,2.678965,0.436142,0.251807,1.083437,1.595528,3.762402,2.194303,3.039816
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,fc1,18,alpha,3,3.355815,1.69454,0.978343,4.209471,-0.853656,7.565287,2.018458,5.261455
